Category,Card Name,Price (USD),Inclusion,Synergy,Trend,EDHREC Sections,Note
Buffs instant,Invigorate,$0.30,80%,78%,+0.12,highsynergycards,
Buffs instant,Groundswell,$0.40,72%,71%,-0.33,highsynergycards,
Buffs instant,Giant Growth,$0.28,71%,69%,+0.05,highsynergycards,
Buffs instant,Blossoming Defense,$0.24,70%,68%,-0.53,highsynergycards,
Buffs instant,Flare of Faith,$0.20,67%,66%,-0.83,highsynergycards,
Buffs instant,Tyvar's Stand,$0.51,62%,59%,+0.86,highsynergycards,
Buffs instant,Vines of Vastwood,$1.39,59%,58%,+0.47,topcards,
Buffs instant,Snakeskin Veil,$0.28,66%,58%,-0.09,topcards,
Buffs instant,Ram Through,$0.42,60%,57%,-0.08,topcards,
Buffs instant,"Inner Calm, Outer Strength",$0.21,46%,45%,-0.35,instants,
Buffs instant,Titanic Growth,$0.27,44%,43%,+0.03,instants,
Buffs instant,Mutagenic Growth,$3.03,41%,40%,+0.72,instants,
Buffs instant,Primal Bellow,$0.42,27%,26%,-0.24,instants,
Buffs instant,Wing It,$0.15,27%,26%,-0.97,instants,
Buffs instant,Arrester's Zeal,$0.16,24%,24%,-0.16,instants,
Buffs instant,Adamant Will,$0.13,23%,22%,-2.11,instants,
Buffs instant,Prey's Vengeance,$0.13,16%,16%,+0.00,instants,
Buffs instant,Flawless Maneuver,$21.91,18%,5%,-0.03,instants,
Buffs instant,Heroic Intervention,$14.13,18%,-18%,-0.49,instants,
Buffs sorcery,Exponential Growth,$0.49,15%,15%,-1.06,sorceries,
Buffs sorcery,Monstrous Growth,$0.07,9%,8%,+0.00,sorceries,
Commander,Sergeant John Benton,$1.05,,,,,Not on EDHREC page
Commander Protection,Wild Defiance,$0.65,58%,57%,-0.63,topcards,
Commander Protection,Tamiyo's Safekeeping,$5.75,47%,41%,+1.47,instants,
Commander Protection,Empyrial Plate,$1.48,34%,33%,-0.04,utilityartifacts,
Commander Protection,Bastion Protector,$1.11,35%,30%,-0.27,creatures,
Commander Protection,Guardian Augmenter,$1.32,24%,23%,+0.17,creatures,
Commander Protection,Bear Umbra,$10.48,23%,15%,-0.42,enchantments,
Commander Protection,Grand Abolisher,$15.77,21%,13%,+1.17,creatures,
Commander Protection,Mother of Runes,$12.13,16%,9%,+1.16,creatures,
Commander Protection,Brotherhood Regalia,$7.77,7%,6%,+0.13,utilityartifacts,
Commander Protection,Champion's Helm,$2.57,6%,5%,+0.06,utilityartifacts,
Commander Protection,Canopy Cover,$3.89,5%,4%,+0.16,enchantments,
Commander Protection,Galadriel's Dismissal,$26.79,,,,,Not on EDHREC page
Commander Protection,Silver Shroud Costume,—,,,,,Not on EDHREC page
Commander Protection,Rebuff the Wicked,$7.53,,,,,Not on EDHREC page
Commander Protection,Robe of Stars,$13.93,,,,,Not on EDHREC page
Counters,Gift of the Viper,$0.24,34%,30%,-0.14,instants,
Counters,Power Fist,$12.62,6%,5%,+0.19,utilityartifacts,
Double Strike,Duelist's Heritage,$6.67,69%,64%,-0.13,highsynergycards,
Double Strike,Flaming Fist,$0.18,57%,55%,-0.49,topcards,
Group Hug,Scrawling Crawler,$5.51,13%,12%,+0.66,creatures,
Group Hug,Giggling Skitterspike,$11.80,,,,,Not on EDHREC page
Group Hug,Silent Gravestone,$0.33,,,,,Not on EDHREC page
Group Hug,Tajuru Preserver,$3.50,,,,,Not on EDHREC page
Land,Reliquary Tower,$2.82,84%,55%,+0.82,utilitylands,
Land,Rogue's Passage,$0.34,47%,23%,-0.20,utilitylands,
Land,Sungrass Prairie,$0.21,48%,15%,+0.00,lands,
Land,Riftstone Portal,$2.67,11%,10%,+0.00,lands,
Land,Command Tower,$0.29,86%,3%,+0.00,lands,
Land,Forest,—,99%,1%,+0.00,lands,
Land,Plains,—,99%,1%,+0.00,lands,
Land,Canopy Vista,$0.33,60%,-5%,+0.00,lands,
Land,Temple Garden,$7.66,38%,-7%,+0.00,lands,
Land,Hall of Oracles,$0.21,,,,,Not on EDHREC page
Land,Nesting Grounds,$0.18,,,,,Not on EDHREC page
Maybeboard,Become Immense,$0.23,67%,66%,-0.61,highsynergycards,
Maybeboard,Embiggen,$0.24,55%,54%,-0.15,instants,
Maybeboard,Kaya's Onslaught,$0.12,48%,47%,-1.34,instants,
Maybeboard,Scent of Ivy,$0.17,47%,46%,+0.00,instants,
Maybeboard,Loran's Escape,$1.31,46%,44%,-0.28,instants,
Maybeboard,Single Combat,$0.45,46%,44%,-0.55,sorceries,
Maybeboard,Empyrial Armor,—,44%,43%,-0.53,enchantments,
Maybeboard,Crumb and Get It,$0.16,43%,41%,-0.37,instants,
Maybeboard,Arboreal Grazer,$0.29,43%,40%,-1.59,creatures,
